variable,source_variable,source_dataset,description,source
gas_share_elec,gas_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from gas,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
gas_share_energy,gas__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from gas,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
greenhouse_gas_emissions,total_emissions__mtco2,electricity_mix,"Greenhouse-gas emissions produced in the generation of electricity, measured in million tonnes of CO2 equivalent",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
hydro_cons_change_pct,hydro__pct_growth,energy_mix,Annual percentage change in hydropower consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
hydro_cons_change_twh,hydro__twh_growth__equivalent,energy_mix,"Annual change in hydropower consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
hydro_consumption,hydro__twh__equivalent,energy_mix,"Primary energy consumption from hydropower, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
hydro_elec_per_capita,per_capita_hydro_generation__kwh,electricity_mix,"Per capita electricity generation from hydropower, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
hydro_electricity,hydro_generation__twh,electricity_mix,"Electricity generation from hydropower, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
hydro_energy_per_capita,hydro_per_capita__kwh__equivalent,energy_mix,"Per capita primary energy consumption from hydropower, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
hydro_share_elec,hydro_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from hydropower,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
hydro_share_energy,hydro__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from hydropower,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
low_carbon_cons_change_pct,low_carbon_energy__pct_growth,energy_mix,Annual percentage change in low-carbon energy consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
low_carbon_cons_change_twh,low_carbon_energy__twh_growth__equivalent,energy_mix,"Annual change in low-carbon energy consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
low_carbon_consumption,low_carbon_energy__twh__equivalent,energy_mix,"Primary energy consumption from low-carbon sources, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
low_carbon_elec_per_capita,per_capita_low_carbon_generation__kwh,electricity_mix,"Per capita electricity generation from low-carbon sources, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
low_carbon_electricity,low_carbon_generation__twh,electricity_mix,"Electricity generation from low-carbon sources, measured in terawatt-hours. This is the sum of electricity generation from renewables and nuclear power",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
low_carbon_energy_per_capita,low_carbon_energy_per_capita__kwh__equivalent,energy_mix,"Per capita primary energy consumption from low-carbon sources, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
